eef,marker
"-0.385113,-0.671118,0.405732,-0.632303,0.6676113,-0.3489059,0.1809772","-0.19822100705720988,0.05903406097535054,0.538838699508618,0.9885803778379859,0.009992213499961503,-0.14775189454433119,-0.027899281023655506"
"-0.223365,-0.631362,0.450829,-0.6846462,0.6805495,-0.2578096,0.040574 ","-0.19822100705720988,0.05903406097535054,0.538838699508618,0.9885803778379859,0.009992213499961503,-0.14775189454433119,-0.027899281023655506"
"-0.014675,-0.637828,0.450832,-0.7197936,0.6767858,-0.1307453,-0.0822425","-0.1981753167238603,0.1344271301314481,0.5402915508469248,0.9881618055796838,0.009853832950851682,-0.14823894732693813,-0.038266989234552094"
"0.082374,-0.635206,0.450832,0.7254385,-0.671817,0.094513,0.1160528","-0.08335004200449439,0.13482379013660445,0.5185178124872266,0.9815734192991845,0.008099088402849269,-0.18768332620261713,-0.034971364827127926"
"-0.532350,-0.771501,0.431894,-0.72927,0.5949231,-0.281257,0.1874199","-0.015182842155533227,0.06476632526858966,0.5055849995777842,0.9790257787620034,0.007444043791954324,-0.19860703095300394,-0.04481470726791282"
"0.003992,-0.76321,0.523391,-0.684752,0.7215376,-0.099404,0.024841","-0.013295003264126831,0.09441299691456256,0.492549285146469,0.9776267774274887,0.011410863938604727,-0.20847981310989278,-0.025531231199892198"
"-0.09,-0.741491,0.566357,-0.684754,0.7215357,-0.0994041,0.0248411","-0.07742651455928809,0.13001902034424467,0.5066700872035967,0.9803209965533565,0.011287189460085013,-0.19539113364578653,-0.02580015432784395"
"-0.048462,-0.698555,0.566354,-0.5116714,0.8530499,-0.1024262,0.0026624","-0.2253711331351606,0.1296028954861059,0.5613668280922366,0.9868909606530528,0.012644532964394216,-0.1581892831240889,-0.02936832089333191"
"-0.104794,-0.795245,0.599011,-0.8534601,0.5036393,-0.1159021,0.067231","-0.16839226413310396,0.1258983420472827,0.5092006746955112,0.9922781494257175,0.016123978123928257,-0.12026947755916846,0.02567769984592434"
"-0.137223,-0.82247,0.599007,-0.853459,0.503641,-0.115901,0.067234","-0.1106066246492663,0.10206595857215611,0.4899484733905542,0.9927176896806905,0.016081323919989288,-0.11550232194785291,0.030202536990578736"
"-0.239688,-0.888111,0.517414,0.755395,-0.6382164,-0.131551,0.0689379","-0.1370526030990799,0.06653387759894874,0.4976399431206916,0.9923778170800723,0.016201855128848013,-0.11744835437659694,0.033610297707748434"
"0.180128,-0.889922,0.517412,0.755394,-0.6382177,-0.1315511,0.0689369","-0.05897149128765261,0.066494732287907,0.4780538858933961,0.9932918216290347,0.015769704016602975,-0.11176818350211273,0.025110688495952663"
"0.400257,-0.978490,0.473776,0.7170359,-0.639353,-0.264134,0.0855593","-0.18208633506846422,0.06133774197041801,0.5034283958546495,0.9955698084525705,-0.0015558791968717377,-0.0844740785765783,-0.04126094747185183"
"0.505686,-0.978490,0.401504,0.6953641,-0.6312028,-0.3168201,0.1329547","-0.06910133599103224,0.14253615047205798,0.4699459617719389,0.9962920369004683,-0.0006881149313087169,-0.06878208997820728,-0.05167908479053371"
"0.401066,-0.814682,0.502546,0.7041761,-0.6690038,-0.163574,0.1726658","-0.01628680190197948,0.06540981208340678,0.4692505971128,0.9996462655202241,0.00017885215419882338,-0.023111242636990978,-0.013159874891147167"
